SKU;longDescription;Categorie;sous_categorie;manufacturer;stock_disponible;minimum_order_quantity;prix_stm_HT;prix_public_HT
RS51B0-LEDNWR;RS5100 RING SCANNER, SE4710, EXTENDED BATTERY, DOUBLE TRIGGER, NO USB, WORLDWIDE. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;33;1;809.84;1012.29
BTRY-RS51-4MA-01;RS5100 POWERPRECISION LITHIUM ION BATTERY, STANDARD CAPACITY 480MAH, WORLDWIDE. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;1659;1;62.99;78.74
BTRY-RS51-4MA-10;RS5100 POWERPRECISION+ LITHIUM ION BATTERY 10-PACK, STANDARD CAPACITY 480MAH, WORLDWIDE. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;189;1;611.81;764.77
BTRY-RS51-7MA-01;RS5100 Lithium Ion Battery, Extended 735mAh, Worldwide. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION.;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;158;1;85.47;106.84
BTRY-RS51-7MA-10;RS5100 Lithium Ion Battery 10-pack, Extended 735mAh, Worldwide. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION.;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;2261;1;832.25;1040.31
SAC-RS51-40SCHG-01;Battery charging station, 40 slots, rack mount ready, order separately: power supply, DC line cord, power cord (C13), fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;47;1;2185.05;2806.06
SAC-RS51-8SCHG-01;RS5100  8-SLOT SPARE BATT CHARGER, ALLOWS CHARGING OF 8 SPARE BATTERIES. REQUIRES PWR-BGA12V50W0WW, DC CABLE CBL-DC-388A1-01 AND 3-WIRE GROUNDED AC LINE CORD, SOLD SEPARATELY.. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;943;1;535.35;669.18
SG-RS51-BHMT-01;RS5100 Back of Hand Mount, includes hand strap. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;405;1;123.1;153.88
CRD-RS51-20SCHG-01;Charging station, 20 slots, rack mount ready, order separately: power supply, DC line cord, power cord (C13), fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;30;1;1309.28;1681.38
CRD-RS51-4SCHG-01;RS5100  4-SLOT RING SCANNER CHARGER. REQUIRES PWR-BGA12V50W0WW, DC CABLE CBL-DC-388A1-01 AND 3-WIRE GROUNDED COUNTRY SPECIFIC AC LINE CORD, SOLD SEPARATELY. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;1338;1;310.4;388.0
